Date,leveled log Nasdaq,leveled log S&P,leveled log Russell,leveled log DJIA,leveled log Gold,leveled log 1yr Treasury,leveled log 10yr Bond
7/19/1990,-0.370579042,-0.228841917,-0.161269695,-0.214467968,0.427700345,-0.377241938,-0.020958057
7/20/1990,-0.365643441,-0.226026299,-0.166466737,-0.208797878,0.425185198,-0.380461166,-0.02428955
7/23/1990,-0.383060423,-0.236433758,-0.168084571,-0.224846828,0.427791573,-0.383695036,-0.02408955
7/24/1990,-0.399649945,-0.254209358,-0.19222488,-0.236720009,0.445162055,-0.374172096,-0.018010638
7/25/1990,-0.400174956,-0.253059306,-0.190317232,-0.23549362,0.442551173,-0.374841938,-0.022511
7/26/1990,-0.396881048,-0.24961216,-0.187925593,-0.231730046,0.450923314,-0.370437241,-0.022311
7/27/1990,-0.401225062,-0.253150224,-0.185845874,-0.234484003,0.444940712,-0.382576266,-0.030390172
7/30/1990,-0.412617476,-0.260286255,-0.19170741,-0.250490496,0.442739312,-0.388407157,-0.039736784
7/31/1990,-0.412917476,-0.254534147,-0.199512373,-0.238900001,0.451371568,-0.391685636,-0.037141573
8/1/1990,-0.416866228,-0.253048026,-0.202594857,-0.239626038,0.451071568,-0.402812155,-0.045350031
8/2/1990,-0.434449755,-0.255018524,-0.207363035,-0.251390496,0.481290057,-0.393079671,-0.030778526
8/3/1990,-0.450446486,-0.266647158,-0.221314653,-0.266514481,0.463057087,-0.41082881,-0.028203228
8/6/1990,-0.498627942,-0.285861506,-0.24877721,-0.311094834,0.473871253,-0.401012155,0.004671791
8/7/1990,-0.505389212,-0.316772431,-0.284219448,-0.299327576,0.483912336,-0.384807157,0.012876408
8/8/1990,-0.498237613,-0.315777098,-0.283245243,-0.311418286,0.485693773,-0.386791137,0.011936806
8/9/1990,-0.484774786,-0.30551912,-0.27082581,-0.303720494,0.488248693,-0.387485636,-0.000485277
8/10/1990,-0.478021385,-0.301148561,-0.261838709,-0.297796644,0.495436463,-0.393383385,0.002021529
8/13/1990,-0.497406912,-0.314705921,-0.273280354,-0.31707815,0.523414516,-0.395394352,0.005671791
8/14/1990,-0.486651646,-0.304671992,-0.276435075,-0.302632761,0.550493214,-0.389579216,0.000114723
8/15/1990,-0.478436815,-0.303250067,-0.271827318,-0.294833156,0.526807533,-0.390280453,-0.001997417
8/16/1990,-0.488963303,-0.301477933,-0.271069301,-0.305944921,0.520887787,-0.372895036,0.011995905
8/17/1990,-0.519576213,-0.324581326,-0.290317076,-0.336132471,0.548375929,-0.373576266,0.016751721
8/20/1990,-0.52696482,-0.338504858,-0.309862184,-0.338115793,0.549049876,-0.367861166,0.01808744
8/21/1990,-0.560851029,-0.336632691,-0.320376178,-0.348751301,0.54129946,-0.359637241,0.021686877
8/22/1990,-0.558527045,-0.357283378,-0.344330631,-0.351699767,0.54625716,-0.353986725,0.029774241
8/23/1990,-0.606595767,-0.374118831,-0.357497976,-0.398833289,0.559763846,-0.34710924,0.040024577
8/24/1990,-0.603054818,-0.404756838,-0.402603079,-0.388764387,0.550523349,-0.350271,0.045764758
8/27/1990,-0.570229431,-0.3904402,-0.39309421,-0.349478143,0.526335934,-0.358503865,0.029251277
8/28/1990,-0.560513565,-0.359389093,-0.360703005,-0.358598874,0.501563918,-0.351586725,0.033935589
8/29/1990,-0.560027045,-0.35990026,-0.354605398,-0.354908075,0.49243638,-0.362386468,0.022886877
8/30/1990,-0.560589149,-0.35127023,-0.351400477,-0.346703547,0.4836191,-0.36433749,0.025346765
8/31/1990,-0.5693125,-0.36851843,-0.356998349,-0.360931611,0.489263038,-0.372717666,0.025546765
9/4/1990,-0.567763795,-0.356710841,-0.355935399,-0.36266254,0.485478489,-0.372117666,0.030251277
9/5/1990,-0.557565011,-0.35526909,-0.359035006,-0.355157854,0.479603833,-0.374098312,0.025946765
9/6/1990,-0.563888305,-0.351453458,-0.352814702,-0.351109026,0.488749462,-0.373498312,0.023886877
9/7/1990,-0.574485489,-0.363842565,-0.357911203,-0.36404126,0.489993665,-0.374191137,0.02068744
